"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2023","11,395","11,370","11,415","11,335","1.05M","0.71%"
"05/01/2023","11,315","11,315","11,315","11,315","","0.00%"
"04/28/2023","11,315","11,335","11,355","11,295","1.80M","1.94%"
"04/27/2023","11,100","11,065","11,140","11,050","759.31K","0.54%"
"04/26/2023","11,040","11,035","11,075","11,015","1.11M","1.05%"
"04/25/2023","10,925","10,980","10,980","10,915","0.31K","-0.09%"
"04/24/2023","10,935","10,970","11,000","10,935","836.66K","-0.27%"
"04/23/2023","10,965","10,965","10,965","10,965","","0.00%"
"04/21/2023","10,965","10,885","10,975","10,885","635.99K","0.00%"
"04/20/2023","10,965","11,000","11,045","10,920","713.77K","-0.14%"
"04/19/2023","10,980","10,965","10,990","10,940","0.50K","-0.18%"
"04/18/2023","11,000","10,975","11,005","10,965","497.35K","0.09%"
"04/17/2023","10,990","10,910","10,990","10,910","0.00K","0.92%"
"04/14/2023","10,890","10,900","10,905","10,815","529.80K","1.54%"
"04/13/2023","10,725","10,750","10,820","10,695","600.30K","-1.70%"
"04/12/2023","10,910","10,880","10,910","10,870","594.42K","-0.91%"
"04/11/2023","11,010","10,980","11,015","10,955","699.70K","0.00%"
"04/10/2023","11,010","11,020","11,035","10,995","0.01K","-0.63%"
"04/09/2023","11,080","11,080","11,080","11,080","","0.00%"
"04/07/2023","11,080","11,020","11,080","10,995","1.32M","2.12%"
"04/06/2023","10,850","10,815","10,880","10,805","862.85K","-1.14%"
"04/05/2023","10,975","10,970","11,000","10,960","577.70K","-0.05%"
"04/04/2023","10,980","10,930","10,980","10,895","0.10K","0.27%"
"04/03/2023","10,950","10,845","10,980","10,830","1.28M","2.15%"
"03/31/2023","10,720","10,645","10,720","10,630","709.37K","0.94%"
"03/30/2023","10,620","10,625","10,650","10,595","393.96K","1.05%"
"03/29/2023","10,510","10,480","10,510","10,390","439.26K","0.14%"
"03/28/2023","10,495","10,535","10,540","10,465","584.47K","-1.78%"
"03/27/2023","10,685","10,645","10,685","10,595","828.63K","1.42%"
"03/24/2023","10,535","10,455","10,535","10,455","771.94K","1.40%"
"03/23/2023","10,390","10,475","10,495","10,330","739.99K","-2.12%"
"03/22/2023","10,615","10,580","10,625","10,570","771.81K","1.77%"
"03/21/2023","10,430","10,430","10,430","10,365","385.92K","-0.05%"
"03/20/2023","10,435","10,445","10,455","10,395","639.80K","0.38%"
"03/19/2023","10,395","10,395","10,395","10,395","","0.00%"
"03/17/2023","10,395","10,365","10,430","10,360","1.23M","2.77%"
"03/16/2023","10,115","10,125","10,210","10,115","1.12M","1.51%"
"03/15/2023","9,965","9,935","9,965","9,905","732.79K","2.42%"
"03/14/2023","9,730","9,755","9,755","9,650","443.46K","-0.26%"
"03/13/2023","9,755","9,750","9,810","9,710","1.11M","-0.51%"
